LATITUDE,LONGITUDE,ADM_RATE,ADM_RATE_ALL,SAT_AVG,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_BLACKNH,UGDS_API,UGDS_AIANOLD,UGDS_HISPOLD,UG_NRA,UG_UNKN,UG_WHITENH,UG_BLACKNH,UG_API,UG_AIANOLD,UG_HISPOLD,TUITIONFEE_IN,TUITIONFEE_OUT,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,PCTPELL,PCTFLOAN,COUNT_ED,LOAN_EVER,PELL_EVER,AGE_ENTRY,AGEGE24,FEMALE,MARRIED,DEPENDENT,VETERAN,FIRST_GEN,FAMINC,MD_FAMINC,FAMINC_IND,PCT_WHITE,PCT_BLACK,PCT_ASIAN,PCT_HISPANIC,PCT_BA,PCT_GRAD_PROF,PCT_BORN_US,MEDIAN_HH_INC,POVERTY_RATE,UNEMP_RATE,LN_MEDIAN_HH_INC,DEBT_MDN_SUPP,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,UGDS_MEN,UGDS_WOMEN,MEDIAN_HH_INC2,10 yr median
38.637165,-90.260357,NULL,0.694382022,1188,693,0.5815,0.0519,0.0058,0.1991,0.0014,0.0029,0.0173,0.0245,0.1154,0,0,0,0,0,0.0012,0.0096,0.7851,0.0456,0.1477,0,0.0108,26872,26872,24290,13971,8294,0.6258,NULL,NULL,303,0.972972973,0.339066339,20.40786241,0.029999999,0.604422604,0.024570025,0.906633907,PrivacySuppressed,0.207594937,83795.51465,76386.46757,26845.83686,89.87000275,5.869999886,2.00999999,2.160000086,15.65999985,8.31000042,95.62000275,64533.67,6.139999866,2.99000001,11.02999973,17500,19349.5,198.5821849,0.3997,0.6003,41036.2,115800
42.337036,-71.100964,0.8401,0.840122825,1074,3944,0.4194,0.0545,0.0363,0.25,0.0013,0.0008,0.0035,0.1194,0.1149,0,0,0,0,0,0.0434,0.021,0.5053,0.0561,0.3574,0.0056,0.0112,30400,30400,28155,9636,8488,0.9898,0.2797,0.7075,1186,0.973134328,0.376119403,21.38377302,0.230000004,0.735323383,0.037810945,0.81641791,0.004975124,0.298969072,77931.88066,61780.97926,27987.23141,82.41000366,5.78000021,5.460000038,7.699999809,18.82999992,12,84.54000092,72630.13,6.940000057,3.039999962,11.14000034,25000,27000,277.098581,0.3136,0.6864,76078.56,113400
40.692662,-73.990535,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29760,17511,13464,1,NULL,NULL,348,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.779999971,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,70.91000366,11.32999992,8.539999962,12.97999954,22.12999916,16.81999969,74.81999969,79409.73,8.909999847,3.460000038,11.19999981,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,40380.11,110700
37.82029,-122.266331,NULL,NULL,NULL,522,0.4004,0.0345,0.1533,0.2682,0.0019,0.0096,0.0996,0.0019,0.0307,0,0,0,0,0,0,0.0625,0.4141,0.1211,0.2539,0.0117,0.1367,NULL,NULL,28399,15669,10111,0.3688,0.1986,0.7334,427,0.976331361,0.226824458,28.05128205,0.75999999,0.820512821,0.183431953,0.311637081,PrivacySuppressed,0.369803064,52234.64898,31995.0342,37409.29192,64.20999908,7.300000191,15.32999992,15.92000008,23.06999969,13.93000031,77.54000092,83323.75,6.610000134,3.349999905,11.27000046,18750,18750,192.4295702,0.182,0.818,57521.57,108000
32.819539,-96.842311,NULL,NULL,NULL,5,0.8,0.2,0,0,0,0,0,0,0,0.4667,0.2111,0.0778,0,0.1333,0.0126,0.0795,0.6192,0.1339,0.0711,0.0042,0.0795,NULL,NULL,10402,357489,8013,0.84,0,1,256,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.600000024,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,72.48000336,10.40999985,5.71999979,21.37999916,22.60000038,11.57999992,83.84999847,74002.01,8.220000267,3.160000086,11.11999989,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.4,0.6,60702.32,106900
37.780718,-122.415395,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29651,23717,12653,0.9079,NULL,NULL,383,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.800000012,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,64.73999786,6.650000095,14.97999954,17.51000023,24.22999954,15.78999996,74.54000092,77597.69,7.800000191,3.470000029,11.18999958,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,71944.78,104800
40.085816,-75.128089,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20651,11666,7787,0.5966,NULL,NULL,235,PrivacySuppressed,PrivacySuppressed,24.81538462,0.660000026,0.753846154,0.058974359,PrivacySuppressed,PrivacySuppressed,0.227272727,11485.5969,6505.435329,PrivacySuppressed,77.19999695,11.44999981,5.550000191,7.820000172,16.59000015,9.920000076,87.33999634,63421.69,8.149999619,3.339999914,11,4217,4229,43.40184812,NULL,NULL,89504.61,97000
39.946552,-75.208241,0.5788,0.57883672,1169,1626,0.3973,0.0627,0.0406,0.3844,0.0006,0.0031,0.0258,0.0117,0.0738,0,0,0,0,0,0.0364,0.026,0.5719,0.0745,0.2634,0,0.0277,36096,36096,22797,12724,7716,0.99,0.27,0.726,668,0.935338346,0.433082707,19.61954887,0.039999999,0.593984962,PrivacySuppressed,0.97443609,PrivacySuppressed,0.273752013,85516.69606,68970.03306,17960.05608,81.23999786,9.600000381,5.099999905,5.360000134,17.54999924,10.23999977,88.16999817,72732.06,6.019999981,3.150000095,11.14000034,26994.5,27000,277.098581,0.4108,0.5892,52692.03,95800
42.374429,-71.118177,0.0596,0.059629684,1501,7236,0.4527,0.0681,0.0984,0.1801,0.0022,0.0006,0.0651,0.1036,0.0292,0.386,0.0741,0.1594,0.0063,0.0682,0.0472,0.161,0.5069,0.0707,0.1421,0.0066,0.0655,43938,43938,30239,49500,19115,0.8653,0.1304,0.0404,2130,0.446498055,0.623540856,22.33949416,0.49000001,0.494163424,0.045719844,0.712062257,PrivacySuppressed,0.227608008,60120.90683,30848.49293,25787.36492,74.08000183,10.27999973,7.400000095,11.90999985,22.80999947,17.39999962,81.30999756,76879.55,7.769999981,3.460000038,11.17000008,7536,6500,66.70891765,0.5246,0.4754,71253.32,95500
42.360095,-71.092115,0.0788,0.07882981,1500,4476,0.3677,0.0561,0.1613,0.246,0.0018,0,0.0525,0.0967,0.0179,0,0,0,0,0,0.0845,0.1085,0.341,0.0629,0.2738,0.0186,0.1106,45016,45016,28992,62770,16314,0.9891,0.1826,0.1939,944,0.567635904,0.524652339,19.31099874,0.200000003,0.413400759,PrivacySuppressed,0.987357775,PrivacySuppressed,0.233333333,88351.48706,56005.34769,4749.584548,76.36000061,8.510000229,7.119999886,13.55000019,22.20999908,16.05999947,82.16000366,77426.3,7.349999905,3.220000029,11.18000031,14000,14990,153.841027,0.5424,0.4576,39885.44,89200
